skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Q_5148,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5208,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5209,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5125,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5216,0,1,3,23,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5278,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5149,0,1,3,5,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5221,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5267,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5240,0,1,3,22,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5210,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5126,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5279,0,1,3,11,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5150,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5268,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5241,0,1,3,22,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5217,0,1,3,21,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5222,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5269,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5211,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5280,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5218,0,1,3,21,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5151,0,1,3,5,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5242,0,1,3,22,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5223,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5281,0,1,3,11,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5152,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5224,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5212,0,1,1,3,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5270,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5153,0,1,3,5,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5282,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5213,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5225,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5271,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5226,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5154,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5283,0,1,3,11,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5272,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5227,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5284,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5273,0,1,1,3,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5288,0,1,1,3,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5289,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5155,0,1,3,5,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5285,0,1,3,11,0,5,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5274,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5228,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5156,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5229,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5157,0,1,3,5,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5275,0,1,1,3,0,4,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5158,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5230,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5231,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5232,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5233,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5234,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5235,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,External ID,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Alert Times,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Model,0,1,3,8,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,OS,0,1,2,3,0,2,0,NA,NA,NA,NA,Monthly_Survey
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,2022-01-04T16:43:01Z,2022-01-18T15:50:17Z,2022-01-14T16:22:20Z,10,Monthly_Survey
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,2022-01-04T16:43:00Z,2022-01-18T15:50:16Z,2022-01-14T16:22:19Z,10,Monthly_Survey
